test_data_id,node_count,computation_capacity,function_count,resource_demands,data_sizes,bandwidth_matrix,gpu_cost,memory_cost,bandwidth_cost,profit_per_user
26,6,"[[125,625],[429,1287],[67,402],[431,862],[85,255],[593,1779]]",5,"[[5.6, 92], [6.7, 87], [8.0, 155], [9.6, 106], [11.5, 194]]","[21, 33, 71, 73]","[[0, 500, 200, 0, 1000, 200], [500, 0, 1000, 50, 1000, 1000], [200, 1000, 0, 200, 0, 1000], [0, 50, 200, 0, 200, 50], [1000, 1000, 0, 200, 0, 1000], [200, 1000, 1000, 50, 1000, 0]]",0.362,0.11,0.05,496
27,10,"[[199,1194],[500,1000],[125,1000],[176,1232],[90,270],[227,1362],[88,528],[536,1072],[93,279],[101,505]]",7,"[[13.1, 218], [15.7, 276], [18.8, 310], [22.6, 349], [27.1, 380], [32.6, 574], [39.1, 676]]","[70, 78, 85, 63, 48, 82]","[[0, 1000, 0, 0, 1000, 100, 1000, 0, 100, 500], [1000, 0, 500, 0, 0, 0, 1000, 0, 200, 0], [0, 500, 0, 1000, 0, 0, 1000, 1000, 100, 200], [0, 0, 1000, 0, 500, 200, 0, 100, 1000, 100], [1000, 0, 0, 500, 0, 500, 0, 0, 50, 0], [100, 0, 0, 200, 500, 0, 200, 0, 1000, 50], [1000, 1000, 1000, 0, 0, 200, 0, 200, 500, 200], [0, 0, 1000, 100, 0, 0, 200, 0, 500, 0], [100, 200, 100, 1000, 50, 1000, 500, 500, 0, 200], [500, 0, 200, 100, 0, 50, 200, 0, 200, 0]]",0.329,0.06,0.04,238
28,10,"[[190,1140],[62,310],[92,552],[94,564],[407,1221],[95,570],[105,735],[210,1470],[597,1194],[90,360]]",7,"[[12.7, 228], [15.2, 244], [18.3, 243], [21.9, 321], [26.3, 304], [31.6, 431], [37.9, 686]]","[24, 27, 94, 74, 53, 99]","[[0, 500, 50, 0, 0, 0, 0, 0, 200, 200], [500, 0, 500, 200, 500, 1000, 100, 500, 500, 1000], [50, 500, 0, 1000, 100, 500, 100, 500, 0, 0], [0, 200, 1000, 0, 500, 50, 50, 0, 100, 100], [0, 500, 100, 500, 0, 200, 1000, 0, 0, 200], [0, 1000, 500, 50, 200, 0, 1000, 50, 1000, 100], [0, 100, 100, 50, 1000, 1000, 0, 500, 200, 100], [0, 500, 500, 0, 0, 50, 500, 0, 500, 500], [200, 500, 0, 100, 0, 1000, 200, 500, 0, 1000], [200, 1000, 0, 100, 200, 100, 100, 500, 1000, 0]]",0.417,0.06,0.07,378
29,8,"[[141,705],[93,558],[151,755],[571,1142],[86,516],[62,372],[473,946],[245,1225]]",6,"[[10.1, 142], [12.1, 183], [14.6, 176], [17.5, 191], [21.0, 222], [25.2, 381]]","[44, 100, 76, 92, 62]","[[0, 200, 0, 1000, 500, 200, 1000, 500], [200, 0, 1000, 100, 100, 100, 100, 500], [0, 1000, 0, 1000, 200, 100, 100, 0], [1000, 100, 1000, 0, 1000, 500, 0, 100], [500, 100, 200, 1000, 0, 1000, 1000, 0], [200, 100, 100, 500, 1000, 0, 1000, 1000], [1000, 100, 100, 0, 1000, 1000, 0, 1000], [500, 500, 0, 100, 0, 1000, 1000, 0]]",0.554,0.14,0.08,440
30,9,"[[495,990],[59,236],[522,1566],[588,1764],[211,1266],[53,159],[210,1260],[218,1090],[227,1589]]",6,"[[13.5, 174], [16.2, 164], [19.5, 199], [23.4, 257], [28.1, 521], [33.7, 353]]","[70, 48, 54, 92, 62]","[[0, 1000, 200, 0, 0, 500, 50, 0, 200], [1000, 0, 200, 100, 1000, 500, 500, 0, 0], [200, 200, 0, 200, 100, 0, 0, 0, 200], [0, 100, 200, 0, 1000, 100, 0, 1000, 0], [0, 1000, 100, 1000, 0, 1000, 100, 100, 0], [500, 500, 0, 100, 1000, 0, 1000, 0, 0], [50, 500, 0, 0, 100, 1000, 0, 500, 100], [0, 0, 0, 1000, 100, 0, 500, 0, 500], [200, 0, 200, 0, 0, 0, 100, 500, 0]]",0.444,0.06,0.04,217
31,5,"[[68,408],[389,778],[510,1530],[264,792],[85,255]]",4,"[[8.8, 89], [10.6, 207], [12.7, 127], [15.2, 154]]","[84, 51, 29]","[[0, 1000, 500, 500, 200], [1000, 0, 200, 100, 200], [500, 200, 0, 1000, 50], [500, 100, 1000, 0, 1000], [200, 200, 50, 1000, 0]]",0.493,0.05,0.06,448
32,7,"[[387,1161],[130,1040],[63,378],[571,1142],[153,1071],[260,780],[156,1092]]",5,"[[8.8, 121], [10.6, 156], [12.7, 250], [15.3, 183], [18.3, 270]]","[62, 25, 58, 60]","[[0, 200, 200, 1000, 200, 0, 500], [200, 0, 1000, 100, 100, 500, 500], [200, 1000, 0, 500, 0, 0, 200], [1000, 100, 500, 0, 200, 100, 0], [200, 100, 0, 200, 0, 1000, 0], [0, 500, 0, 100, 1000, 0, 200], [500, 500, 200, 0, 0, 200, 0]]",0.542,0.05,0.03,444
33,16,"[[344,688],[424,1272],[137,822],[56,336],[265,530],[91,455],[93,372],[85,340],[64,320],[79,395],[540,1080],[299,897],[69,345],[303,909],[180,1440],[465,1395]]",7,"[[10.7, 179], [12.8, 165], [15.4, 302], [18.4, 211], [22.1, 418], [26.5, 481], [31.8, 526]]","[68, 64, 34, 77, 40, 76]","[[0, 200, 0, 0, 50, 0, 50, 0, 200, 0, 100, 1000, 500, 50, 0, 1000], [200, 0, 1000, 500, 0, 0, 0, 0, 0, 50, 500, 0, 50, 200, 100, 200], [0, 1000, 0, 500, 1000, 100, 500, 50, 0, 0, 0, 0, 200, 1000, 1000, 0], [0, 500, 500, 0, 200, 0, 50, 100, 1000, 100, 1000, 0, 1000, 50, 1000, 1000], [50, 0, 1000, 200, 0, 500, 0, 500, 200, 1000, 0, 0, 50, 0, 50, 100], [0, 0, 100, 0, 500, 0, 200, 0, 500, 0, 500, 0, 100, 0, 1000, 0], [50, 0, 500, 50, 0, 200, 0, 1000, 500, 200, 200, 1000, 500, 0, 0, 200], [0, 0, 50, 100, 500, 0, 1000, 0, 500, 100, 50, 1000, 200, 0, 0, 0], [200, 0, 0, 1000, 200, 500, 500, 500, 0, 500, 500, 200, 0, 0, 200, 500], [0, 50, 0, 100, 1000, 0, 200, 100, 500, 0, 200, 1000, 200, 0, 500, 0], [100, 500, 0, 1000, 0, 500, 200, 50, 500, 200, 0, 1000, 0, 0, 1000, 0], [1000, 0, 0, 0, 0, 0, 1000, 1000, 200, 1000, 1000, 0, 500, 100, 100, 100], [500, 50, 200, 1000, 50, 100, 500, 200, 0, 200, 0, 500, 0, 500, 100, 200], [50, 200, 1000, 50, 0, 0, 0, 0, 0, 0, 0, 100, 500, 0, 500, 0], [0, 100, 1000, 1000, 50, 1000, 0, 0, 200, 500, 1000, 100, 100, 500, 0, 200], [1000, 200, 0, 1000, 100, 0, 200, 0, 500, 0, 0, 100, 200, 0, 200, 0]]",0.487,0.1,0.05,446
34,6,"[[57,171],[74,222],[94,470],[89,267],[52,156],[57,228]]",5,"[[10.2, 168], [12.2, 137], [14.7, 290], [17.6, 237], [21.1, 277]]","[20, 91, 36, 69]","[[0, 1000, 200, 200, 50, 200], [1000, 0, 1000, 500, 0, 200], [200, 1000, 0, 1000, 200, 1000], [200, 500, 1000, 0, 200, 0], [50, 0, 200, 200, 0, 1000], [200, 200, 1000, 0, 1000, 0]]",0.407,0.12,0.06,308
35,19,"[[339,678],[87,261],[225,1125],[56,336],[292,584],[432,1296],[435,870],[162,1296],[200,1400],[448,1344],[56,336],[282,564],[476,1428],[91,364],[207,1242],[79,316],[505,1515],[245,1960],[584,1752]]",7,"[[13.1, 165], [15.8, 220], [18.9, 262], [22.7, 354], [27.2, 286], [32.7, 436], [39.2, 582]]","[53, 98, 50, 63, 44, 56]","[[0, 200, 0, 0, 50, 500, 0, 1000, 500, 50, 50, 1000, 200, 200, 0, 100, 0, 100, 1000], [200, 0, 1000, 0, 0, 500, 0, 0, 1000, 100, 1000, 0, 100, 0, 0, 500, 0, 200, 0], [0, 1000, 0, 1000, 0, 0, 1000, 0, 0, 0, 1000, 1000, 0, 1000, 100, 0, 200, 50, 0], [0, 0, 1000, 0, 200, 0, 0, 0, 0, 1000, 100, 200, 0, 0, 1000, 100, 1000, 0, 1000], [50, 0, 0, 200, 0, 1000, 100, 1000, 0, 1000, 0, 100, 0, 0, 0, 0, 0, 50, 500], [500, 500, 0, 0, 1000, 0, 200, 0, 0, 0, 100, 0, 0, 0, 0, 500, 50, 0, 0], [0, 0, 1000, 0, 100, 200, 0, 1000, 500, 1000, 0, 0, 200, 0, 200, 0, 0, 0, 0], [1000, 0, 0, 0, 1000, 0, 1000, 0, 200, 0, 1000, 0, 50, 100, 0, 200, 500, 50, 500], [500, 1000, 0, 0, 0, 0, 500, 200, 0, 200, 100, 50, 100, 200, 200, 50, 100, 100, 500], [50, 100, 0, 1000, 1000, 0, 1000, 0, 200, 0, 500, 50, 0, 50, 100, 50, 1000, 500, 200], [50, 1000, 1000, 100, 0, 100, 0, 1000, 100, 500, 0, 200, 0, 100, 100, 50, 0, 0, 1000], [1000, 0, 1000, 200, 100, 0, 0, 0, 50, 50, 200, 0, 200, 0, 0, 0, 500, 0, 100], [200, 100, 0, 0, 0, 0, 200, 50, 100, 0, 0, 200, 0, 1000, 0, 50, 500, 100, 0], [200, 0, 1000, 0, 0, 0, 0, 100, 200, 50, 100, 0, 1000, 0, 500, 100, 200, 50, 500], [0, 0, 100, 1000, 0, 0, 200, 0, 200, 100, 100, 0, 0, 500, 0, 500, 0, 500, 0], [100, 500, 0, 100, 0, 500, 0, 200, 50, 50, 50, 0, 50, 100, 500, 0, 200, 100, 50], [0, 0, 200, 1000, 0, 50, 0, 500, 100, 1000, 0, 500, 500, 200, 0, 200, 0, 200, 0], [100, 200, 50, 0, 50, 0, 0, 50, 100, 500, 0, 0, 100, 50, 500, 100, 200, 0, 500], [1000, 0, 0, 1000, 500, 0, 0, 500, 500, 200, 1000, 100, 0, 500, 0, 50, 0, 500, 0]]",0.48,0.1,0.07,256
36,12,"[[211,1055],[77,308],[600,1800],[310,930],[174,1218],[181,905],[111,777],[89,445],[56,168],[87,261],[250,500],[134,804]]",5,"[[12.2, 180], [14.7, 179], [17.6, 200], [21.1, 351], [25.3, 259]]","[25, 89, 23, 95]","[[0, 200, 100, 200, 200, 1000, 0, 50, 200, 200, 0, 1000], [200, 0, 200, 0, 200, 1000, 50, 0, 0, 500, 50, 200], [100, 200, 0, 1000, 50, 0, 200, 200, 50, 0, 0, 0], [200, 0, 1000, 0, 200, 1000, 1000, 200, 0, 500, 50, 0], [200, 200, 50, 200, 0, 200, 200, 50, 500, 500, 0, 0], [1000, 1000, 0, 1000, 200, 0, 1000, 50, 50, 200, 50, 100], [0, 50, 200, 1000, 200, 1000, 0, 200, 50, 0, 0, 200], [50, 0, 200, 200, 50, 50, 200, 0, 200, 50, 100, 0], [200, 0, 50, 0, 500, 50, 50, 200, 0, 500, 50, 100], [200, 500, 0, 500, 500, 200, 0, 50, 500, 0, 200, 0], [0, 50, 0, 50, 0, 50, 0, 100, 50, 200, 0, 500], [1000, 200, 0, 0, 0, 100, 200, 0, 100, 0, 500, 0]]",0.125,0.14,0.03,254
37,10,"[[519,1038],[189,1512],[71,284],[126,882],[237,1185],[80,240],[398,796],[90,270],[387,1161],[78,312]]",7,"[[11.5, 227], [13.8, 224], [16.6, 171], [19.9, 343], [23.9, 438], [28.7, 361], [34.4, 611]]","[77, 72, 33, 24, 30, 71]","[[0, 1000, 500, 0, 200, 0, 1000, 0, 500, 200], [1000, 0, 200, 100, 0, 100, 0, 100, 0, 0], [500, 200, 0, 200, 0, 200, 100, 200, 0, 0], [0, 100, 200, 0, 500, 50, 0, 500, 50, 200], [200, 0, 0, 500, 0, 500, 0, 500, 200, 0], [0, 100, 200, 50, 500, 0, 200, 200, 200, 200], [1000, 0, 100, 0, 0, 200, 0, 500, 200, 0], [0, 100, 200, 500, 500, 200, 500, 0, 200, 50], [500, 0, 0, 50, 200, 200, 200, 200, 0, 500], [200, 0, 0, 200, 0, 200, 0, 50, 500, 0]]",0.599,0.12,0.05,200
38,8,"[[551,1102],[104,624],[94,282],[95,475],[222,1554],[223,1338],[494,1482],[56,168]]",6,"[[6.8, 75], [8.2, 93], [9.8, 139], [11.8, 182], [14.2, 213], [17.0, 233]]","[51, 28, 90, 35, 26]","[[0, 200, 50, 500, 500, 1000, 1000, 200], [200, 0, 200, 0, 200, 200, 50, 0], [50, 200, 0, 500, 50, 0, 1000, 500], [500, 0, 500, 0, 1000, 1000, 100, 50], [500, 200, 50, 1000, 0, 500, 50, 50], [1000, 200, 0, 1000, 500, 0, 1000, 50], [1000, 50, 1000, 100, 50, 1000, 0, 1000], [200, 0, 500, 50, 50, 50, 1000, 0]]",0.445,0.05,0.04,384
39,7,"[[498,996],[78,234],[74,296],[161,966],[63,189],[194,970],[461,922]]",4,"[[13.1, 248], [15.8, 252], [18.9, 366], [22.7, 363]]","[88, 48, 59]","[[0, 200, 0, 200, 500, 1000, 1000], [200, 0, 200, 200, 0, 0, 0], [0, 200, 0, 500, 500, 100, 200], [200, 200, 500, 0, 1000, 50, 500], [500, 0, 500, 1000, 0, 500, 0], [1000, 0, 100, 50, 500, 0, 500], [1000, 0, 200, 500, 0, 500, 0]]",0.2,0.09,0.04,213
40,7,"[[136,816],[283,566],[62,248],[461,922],[329,987],[62,310],[328,984]]",5,"[[13.8, 194], [16.5, 167], [19.8, 383], [23.8, 392], [28.5, 519]]","[45, 24, 57, 42]","[[0, 500, 1000, 0, 200, 100, 200], [500, 0, 1000, 100, 100, 1000, 1000], [1000, 1000, 0, 500, 100, 200, 0], [0, 100, 500, 0, 1000, 0, 0], [200, 100, 100, 1000, 0, 500, 500], [100, 1000, 200, 0, 500, 0, 200], [200, 1000, 0, 0, 500, 200, 0]]",0.415,0.12,0.07,347
41,18,"[[519,1038],[77,385],[474,1422],[97,582],[185,1110],[158,1264],[438,1314],[79,237],[276,552],[440,880],[97,291],[340,1020],[51,306],[66,264],[93,465],[556,1668],[76,380],[89,534]]",7,"[[13.3, 248], [16.0, 200], [19.2, 356], [23.0, 375], [27.7, 488], [33.2, 590], [39.8, 738]]","[21, 71, 29, 64, 32, 33]","[[0, 1000, 50, 0, 1000, 100, 50, 100, 0, 500, 50, 0, 200, 500, 0, 500, 50, 200], [1000, 0, 200, 0, 500, 50, 0, 1000, 200, 1000, 0, 200, 0, 0, 500, 200, 100, 500], [50, 200, 0, 200, 200, 0, 500, 100, 0, 100, 1000, 200, 0, 100, 100, 200, 0, 500], [0, 0, 200, 0, 1000, 500, 0, 0, 0, 100, 0, 0, 200, 0, 1000, 200, 0, 0], [1000, 500, 200, 1000, 0, 200, 0, 100, 50, 50, 500, 0, 100, 0, 500, 1000, 200, 0], [100, 50, 0, 500, 200, 0, 1000, 500, 200, 0, 0, 0, 0, 0, 0, 100, 50, 500], [50, 0, 500, 0, 0, 1000, 0, 200, 0, 0, 100, 0, 100, 1000, 0, 1000, 0, 500], [100, 1000, 100, 0, 100, 500, 200, 0, 200, 0, 0, 50, 100, 0, 0, 500, 50, 0], [0, 200, 0, 0, 50, 200, 0, 200, 0, 200, 0, 200, 1000, 0, 50, 200, 0, 1000], [500, 1000, 100, 100, 50, 0, 0, 0, 200, 0, 200, 50, 0, 200, 1000, 500, 0, 100], [50, 0, 1000, 0, 500, 0, 100, 0, 0, 200, 0, 200, 0, 0, 200, 500, 100, 0], [0, 200, 200, 0, 0, 0, 0, 50, 200, 50, 200, 0, 1000, 500, 50, 500, 200, 500], [200, 0, 0, 200, 100, 0, 100, 100, 1000, 0, 0, 1000, 0, 500, 0, 50, 1000, 100], [500, 0, 100, 0, 0, 0, 1000, 0, 0, 200, 0, 500, 500, 0, 200, 50, 0, 50], [0, 500, 100, 1000, 500, 0, 0, 0, 50, 1000, 200, 50, 0, 200, 0, 1000, 50, 0], [500, 200, 200, 200, 1000, 100, 1000, 500, 200, 500, 500, 500, 50, 50, 1000, 0, 200, 50], [50, 100, 0, 0, 200, 50, 0, 50, 0, 0, 100, 200, 1000, 0, 50, 200, 0, 1000], [200, 500, 500, 0, 0, 500, 500, 0, 1000, 100, 0, 500, 100, 50, 0, 50, 1000, 0]]",0.158,0.14,0.05,372
42,6,"[[185,1295],[499,998],[421,1263],[72,216],[410,820],[565,1695]]",4,"[[6.6, 79], [7.9, 109], [9.5, 94], [11.4, 129]]","[93, 97, 89]","[[0, 1000, 0, 200, 0, 500], [1000, 0, 500, 1000, 0, 200], [0, 500, 0, 500, 200, 50], [200, 1000, 500, 0, 200, 200], [0, 0, 200, 200, 0, 500], [500, 200, 50, 200, 500, 0]]",0.535,0.13,0.02,337
43,9,"[[315,630],[427,1281],[86,516],[240,1440],[126,882],[595,1785],[494,988],[598,1196],[59,236]]",7,"[[12.2, 130], [14.6, 254], [17.5, 234], [21.0, 309], [25.2, 383], [30.3, 400], [36.3, 454]]","[75, 83, 88, 88, 58, 94]","[[0, 500, 200, 500, 100, 50, 200, 1000, 200], [500, 0, 200, 500, 0, 0, 500, 0, 0], [200, 200, 0, 500, 1000, 50, 1000, 200, 100], [500, 500, 500, 0, 1000, 100, 0, 0, 500], [100, 0, 1000, 1000, 0, 500, 0, 200, 500], [50, 0, 50, 100, 500, 0, 1000, 0, 200], [200, 500, 1000, 0, 0, 1000, 0, 200, 0], [1000, 0, 200, 0, 200, 0, 200, 0, 1000], [200, 0, 100, 500, 500, 200, 0, 1000, 0]]",0.181,0.07,0.02,267
44,19,"[[71,213],[448,1344],[552,1656],[56,224],[157,942],[413,826],[397,794],[406,812],[90,450],[86,344],[98,588],[334,1002],[325,650],[203,1218],[240,1680],[185,925],[96,576],[202,1616],[182,1456]]",7,"[[5.5, 90], [6.6, 89], [7.9, 111], [9.5, 95], [11.4, 219], [13.6, 260], [16.4, 228]]","[27, 27, 66, 50, 65, 53]","[[0, 500, 0, 0, 0, 0, 50, 0, 50, 100, 0, 200, 100, 200, 200, 100, 0, 50, 200], [500, 0, 1000, 0, 200, 100, 100, 100, 0, 500, 200, 0, 0, 500, 0, 0, 50, 100, 200], [0, 1000, 0, 1000, 50, 50, 1000, 0, 0, 0, 200, 0, 1000, 50, 500, 200, 200, 50, 0], [0, 0, 1000, 0, 200, 0, 0, 500, 1000, 500, 500, 100, 200, 1000, 0, 0, 100, 0, 50], [0, 200, 50, 200, 0, 500, 0, 0, 0, 0, 50, 100, 500, 100, 0, 0, 1000, 500, 100], [0, 100, 50, 0, 500, 0, 1000, 0, 1000, 0, 100, 0, 500, 1000, 100, 0, 0, 0, 500], [50, 100, 1000, 0, 0, 1000, 0, 500, 1000, 1000, 1000, 0, 1000, 0, 0, 500, 100, 1000, 1000], [0, 100, 0, 500, 0, 0, 500, 0, 200, 1000, 200, 50, 500, 0, 200, 500, 50, 200, 50], [50, 0, 0, 1000, 0, 1000, 1000, 200, 0, 1000, 0, 500, 1000, 0, 0, 0, 1000, 200, 100], [100, 500, 0, 500, 0, 0, 1000, 1000, 1000, 0, 1000, 0, 50, 0, 0, 50, 200, 1000, 1000], [0, 200, 200, 500, 50, 100, 1000, 200, 0, 1000, 0, 200, 1000, 1000, 100, 100, 200, 0, 0], [200, 0, 0, 100, 100, 0, 0, 50, 500, 0, 200, 0, 1000, 1000, 100, 50, 200, 50, 100], [100, 0, 1000, 200, 500, 500, 1000, 500, 1000, 50, 1000, 1000, 0, 200, 500, 50, 0, 500, 200], [200, 500, 50, 1000, 100, 1000, 0, 0, 0, 0, 1000, 1000, 200, 0, 200, 500, 1000, 0, 50], [200, 0, 500, 0, 0, 100, 0, 200, 0, 0, 100, 100, 500, 200, 0, 1000, 500, 0, 0], [100, 0, 200, 0, 0, 0, 500, 500, 0, 50, 100, 50, 50, 500, 1000, 0, 500, 50, 1000], [0, 50, 200, 100, 1000, 0, 100, 50, 1000, 200, 200, 200, 0, 1000, 500, 500, 0, 500, 500], [50, 100, 50, 0, 500, 0, 1000, 200, 200, 1000, 0, 50, 500, 0, 0, 50, 500, 0, 500], [200, 200, 0, 50, 100, 500, 1000, 50, 100, 1000, 0, 100, 200, 50, 0, 1000, 500, 500, 0]]",0.213,0.09,0.04,408
45,7,"[[57,342],[78,390],[181,1448],[542,1626],[79,316],[212,1060],[165,825]]",6,"[[10.1, 138], [12.1, 223], [14.5, 179], [17.4, 181], [20.8, 242], [25.0, 296]]","[86, 46, 91, 24, 25]","[[0, 1000, 50, 100, 0, 50, 500], [1000, 0, 200, 500, 100, 100, 100], [50, 200, 0, 500, 0, 500, 500], [100, 500, 500, 0, 1000, 100, 100], [0, 100, 0, 1000, 0, 500, 50], [50, 100, 500, 100, 500, 0, 500], [500, 100, 500, 100, 50, 500, 0]]",0.427,0.13,0.03,480
46,5,"[[207,1449],[306,612],[245,1225],[117,936],[467,934]]",4,"[[7.5, 114], [8.9, 145], [10.7, 130], [12.9, 194]]","[52, 57, 76]","[[0, 200, 50, 100, 500], [200, 0, 500, 50, 50], [50, 500, 0, 1000, 0], [100, 50, 1000, 0, 500], [500, 50, 0, 500, 0]]",0.169,0.14,0.03,393
47,8,"[[181,1086],[512,1536],[161,1288],[196,1568],[55,330],[205,1230],[159,795],[368,1104]]",7,"[[7.2, 96], [8.6, 147], [10.3, 129], [12.4, 227], [14.8, 187], [17.8, 297], [21.4, 237]]","[25, 54, 70, 75, 69, 34]","[[0, 200, 0, 50, 500, 50, 100, 1000], [200, 0, 1000, 50, 50, 1000, 50, 200], [0, 1000, 0, 1000, 1000, 0, 500, 50], [50, 50, 1000, 0, 500, 500, 0, 0], [500, 50, 1000, 500, 0, 200, 0, 0], [50, 1000, 0, 500, 200, 0, 200, 0], [100, 50, 500, 0, 0, 200, 0, 1000], [1000, 200, 50, 0, 0, 0, 1000, 0]]",0.323,0.11,0.08,474
48,6,"[[86,258],[345,1035],[236,1180],[555,1110],[82,410],[410,1230]]",4,"[[12.5, 208], [14.9, 161], [17.9, 179], [21.5, 348]]","[38, 47, 40]","[[0, 1000, 50, 100, 200, 200], [1000, 0, 200, 100, 200, 0], [50, 200, 0, 200, 0, 0], [100, 100, 200, 0, 200, 1000], [200, 200, 0, 200, 0, 500], [200, 0, 0, 1000, 500, 0]]",0.348,0.08,0.07,437
49,5,"[[155,930],[127,762],[108,648],[411,822],[65,260]]",4,"[[9.8, 162], [11.8, 177], [14.1, 276], [16.9, 338]]","[39, 57, 24]","[[0, 1000, 50, 0, 200], [1000, 0, 200, 0, 200], [50, 200, 0, 500, 1000], [0, 0, 500, 0, 200], [200, 200, 1000, 200, 0]]",0.477,0.07,0.08,257
50,8,"[[162,972],[365,730],[136,952],[51,204],[233,1165],[93,465],[51,255],[75,300]]",6,"[[14.1, 177], [16.9, 229], [20.3, 225], [24.4, 395], [29.2, 431], [35.1, 362]]","[50, 69, 89, 52, 27]","[[0, 1000, 0, 200, 50, 500, 1000, 200], [1000, 0, 500, 200, 50, 500, 200, 200], [0, 500, 0, 500, 0, 200, 100, 0], [200, 200, 500, 0, 500, 0, 50, 100], [50, 50, 0, 500, 0, 500, 500, 100], [500, 500, 200, 0, 500, 0, 200, 100], [1000, 200, 100, 50, 500, 200, 0, 500], [200, 200, 0, 100, 100, 100, 500, 0]]",0.535,0.13,0.04,252
51,19,"[[198,1386],[260,780],[371,742],[143,715],[505,1515],[90,270],[54,162],[100,800],[138,1104],[133,1064],[237,1659],[70,350],[101,707],[457,1371],[254,762],[467,934],[67,201],[83,249],[450,900]]",7,"[[7.9, 115], [9.5, 130], [11.3, 209], [13.6, 139], [16.3, 220], [19.6, 275], [23.5, 385]]","[70, 51, 25, 85, 90, 36]","[[0, 1000, 200, 50, 0, 100, 100, 1000, 50, 0, 200, 200, 500, 200, 500, 200, 1000, 0, 1000], [1000, 0, 500, 500, 1000, 200, 500, 0, 0, 50, 200, 500, 50, 0, 0, 0, 0, 50, 50], [200, 500, 0, 200, 0, 200, 50, 500, 0, 200, 0, 0, 0, 1000, 500, 100, 0, 0, 200], [50, 500, 200, 0, 200, 100, 100, 0, 500, 100, 200, 200, 0, 0, 500, 50, 500, 0, 1000], [0, 1000, 0, 200, 0, 1000, 0, 200, 200, 1000, 50, 100, 0, 200, 50, 500, 500, 200, 100], [100, 200, 200, 100, 1000, 0, 500, 100, 0, 0, 1000, 500, 0, 0, 0, 500, 0, 0, 500], [100, 500, 50, 100, 0, 500, 0, 500, 500, 50, 0, 0, 0, 1000, 0, 50, 100, 0, 100], [1000, 0, 500, 0, 200, 100, 500, 0, 1000, 0, 200, 1000, 500, 50, 100, 500, 1000, 100, 100], [50, 0, 0, 500, 200, 0, 500, 1000, 0, 500, 50, 0, 500, 50, 0, 0, 1000, 0, 500], [0, 50, 200, 100, 1000, 0, 50, 0, 500, 0, 1000, 50, 200, 1000, 50, 1000, 50, 100, 0], [200, 200, 0, 200, 50, 1000, 0, 200, 50, 1000, 0, 500, 1000, 0, 1000, 50, 1000, 100, 200], [200, 500, 0, 200, 100, 500, 0, 1000, 0, 50, 500, 0, 500, 50, 0, 1000, 0, 0, 500], [500, 50, 0, 0, 0, 0, 0, 500, 500, 200, 1000, 500, 0, 1000, 100, 0, 0, 100, 0], [200, 0, 1000, 0, 200, 0, 1000, 50, 50, 1000, 0, 50, 1000, 0, 1000, 0, 100, 100, 50], [500, 0, 500, 500, 50, 0, 0, 100, 0, 50, 1000, 0, 100, 1000, 0, 200, 0, 0, 0], [200, 0, 100, 50, 500, 500, 50, 500, 0, 1000, 50, 1000, 0, 0, 200, 0, 500, 1000, 200], [1000, 0, 0, 500, 500, 0, 100, 1000, 1000, 50, 1000, 0, 0, 100, 0, 500, 0, 1000, 500], [0, 50, 0, 0, 200, 0, 0, 100, 0, 100, 100, 0, 100, 100, 0, 1000, 1000, 0, 200], [1000, 50, 200, 1000, 100, 500, 100, 100, 500, 0, 200, 500, 0, 50, 0, 200, 500, 200, 0]]",0.417,0.13,0.06,285
52,9,"[[57,285],[72,360],[162,1296],[64,320],[60,240],[132,660],[520,1040],[208,1664],[53,212]]",7,"[[6.3, 104], [7.5, 76], [9.1, 165], [10.9, 172], [13.0, 244], [15.7, 210], [18.8, 367]]","[21, 99, 31, 30, 25, 71]","[[0, 1000, 0, 0, 500, 1000, 500, 0, 200], [1000, 0, 500, 0, 200, 0, 50, 500, 50], [0, 500, 0, 1000, 500, 0, 0, 0, 0], [0, 0, 1000, 0, 500, 100, 0, 50, 200], [500, 200, 500, 500, 0, 200, 500, 1000, 500], [1000, 0, 0, 100, 200, 0, 200, 0, 100], [500, 50, 0, 0, 500, 200, 0, 500, 100], [0, 500, 0, 50, 1000, 0, 500, 0, 1000], [200, 50, 0, 200, 500, 100, 100, 1000, 0]]",0.102,0.12,0.08,429
53,6,"[[149,894],[66,396],[538,1076],[132,660],[581,1162],[539,1078]]",4,"[[14.3, 271], [17.2, 197], [20.6, 247], [24.8, 478]]","[85, 86, 97]","[[0, 1000, 1000, 500, 1000, 500], [1000, 0, 200, 500, 50, 500], [1000, 200, 0, 500, 50, 50], [500, 500, 500, 0, 500, 1000], [1000, 50, 50, 500, 0, 1000], [500, 500, 50, 1000, 1000, 0]]",0.458,0.09,0.07,486
